FactId,FACTName,BussinessApp,VeracodeApp,VeracodeTEAMSName,SonarAppName,Technology,GitRepo,DeploymentType,ENV_Props_Folder,Environment,JobType,ArtifactoryUploadPath,GitBranch,server,credential
FACT0804,EAS1,TFS-Mule-APIs-Connected-Analytics-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-Connected-Analytics-Services  .git,Jar,Dev,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/connected-analytics-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-Mule-APIs-Dealer-Lending-Services-1  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-Dealer-Lending-Services-1  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/dealer-lending-services-1.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-Mule-APIs-Insurance-Next-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-Insurance-Next-Services  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/insurance-next-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-Mule-APIs-MazdaAPIservices  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-MazdaAPIservices  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/mazdaapiservices.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-Mule-APIs-Salesforce-API-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-Salesforce-API-Services  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/salesforce-api-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-Mule-APIs-STA-TitleManagement-API-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-STA-TitleManagement-API-Services  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/sta-titlemanagement-api-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-Mule-APIs-UMVM-Vehicle-Attributes  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-Mule-APIs-UMVM-Vehicle-Attributes  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/umvm-vehicle-attributes.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPI-TFSB-CenlarService  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPI-TFSB-CenlarService  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/cenlarservice.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-700Credit-Services-Proxy  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-700Credit-Services-Proxy  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/services-proxy.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-Address-Cleansing  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-Address-Cleansing  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/cleansing.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-Address-Cleansing-Proxy  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-Address-Cleansing-Proxy  .git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/cleansing-proxy.jar,,AnyPoint,srv_easc_app
